sample_id,answer_1,answer_2,category
0,First,First,Object
1,Second,Second,Object
2,Second,Second,Object
3,First,First,Object
4,First,Second,Object
5,Second,Second,Object
6,First,Second,Object
7,Second,Second,Object
8,First,First,Object
9,Second,Second,Object
10,Second,Second,Object
11,First,First,Object
12,Second,First,Object
13,Second,Second,Object
14,First,First,Object
15,First,First,Object
16,Second,Second,Object
17,First,First,Object
18,Second,Second,Object
19,First,First,Object
20,First,First,Object
21,Second,Second,Object
22,Second,Second,Object
23,First,Second,Object
24,First,Second,Object
25,Second,Second,Object
26,First,Second,Object
27,First,Second,Object
28,Second,Second,Object
29,First,First,Object
30,First,First,Object
31,Second,Second,Object
32,Second,Second,Object
33,First,Second,Object
34,First,Second,Object
35,First,First,Object
36,First,First,Object
37,Second,Second,Object
38,Second,Second,Object
39,First,First,Object
40,First,First,Object
41,Second,Second,Object
42,First,First,Object
43,First,First,Object
44,First,First,Object
45,First,First,Object
46,Second,Second,Object
47,First,First,Object
48,First,First,Object
49,Second,Second,Object
50,First,First,Object
51,Second,Second,Object
52,First,First,Object
53,Second,First,Object
54,First,Second,Object
55,First,First,Object
56,First,First,Object
57,First,First,Object
58,Second,Second,Object
59,Second,Second,Object
60,First,First,Object
61,First,First,Object
62,Second,Second,Object
63,First,First,Object
64,Second,First,Object
65,First,First,Object
66,First,First,Object
67,First,Second,Object
68,First,First,Object
69,Second,First,Object
70,Second,Second,Object
71,Second,Second,Object
72,First,Second,Object
73,Second,Second,Object
74,First,First,Object
75,First,First,Object
76,First,First,Object
77,First,First,Object
78,Second,Second,Object
79,First,First,Object
80,First,First,Object
81,First,First,Object
82,Second,Second,Object
83,First,First,Object
84,First,Second,Object
85,Second,Second,Object
86,First,First,Object
87,Second,Second,Object
88,Second,First,Object
89,Second,Second,Object
90,First,First,Object
91,First,First,Object
92,First,First,Object
93,Second,Second,Object
94,First,Second,Object
95,First,First,Object
96,First,First,Object
97,First,First,Object
98,Second,Second,Object
99,Second,Second,Object
100,Second,Second,Object
101,Second,Second,Object
102,Second,Second,Object
103,First,Second,Object
104,Second,First,Object
105,Second,Second,Object
106,Second,Second,Object
107,First,First,Object
108,Second,Second,Object
109,First,First,Object
110,First,First,Object
111,Second,Second,Object
112,First,Second,Object
113,First,First,Object
114,First,Second,Object
115,Second,First,Object
116,Second,Second,Object
117,Second,Second,Object
118,Second,Second,Object
119,First,First,Object
120,Second,Second,Object
121,First,First,Object
122,Second,Second,Object
123,First,Second,Object
124,First,Second,Object
125,First,First,Object
126,Second,Second,Object
127,Second,Second,Object
128,First,Second,Object
129,First,First,Object
130,First,First,Object
131,Second,First,Object
132,Second,Second,Object
133,Second,Second,Object
134,Second,First,Object
135,First,First,Object
136,Second,Second,Object
137,First,First,Object
138,First,First,Object
139,First,First,Object
140,First,Second,Object
141,Second,Second,Object
142,Second,Second,Object
143,First,Second,Object
144,Second,Second,Object
145,First,First,Object
146,First,Second,Object
147,First,First,Object
148,Second,Second,Object
149,Second,Second,Object
150,Second,Second,Object
151,First,First,Object
152,Second,Second,Object
153,Second,Second,Object
154,First,First,Object
155,First,Second,Object
156,Second,Second,Object
157,First,First,Object
158,First,Second,Object
159,Second,First,Object
160,Second,Second,Object
161,Second,Second,Object
162,Second,Second,Object
163,First,First,Object
164,First,First,Object
165,Second,Second,Object
166,Second,Second,Object
167,First,First,Object
168,Second,Second,Object
169,Second,Second,Object
170,First,First,Object
171,Second,Second,Object
172,Second,Second,Object
173,Second,Second,Object
174,Second,Second,Object
175,First,First,Object
176,Second,Second,Object
177,First,First,Object
178,First,First,Object
179,Second,Second,Object
180,Second,Second,Object
181,First,First,Object
182,Second,Second,Object
183,First,First,Object
184,Second,Second,Object
185,First,First,Object
186,Second,Second,Object
187,Second,Second,Object
188,Second,Second,Object
189,First,First,Object
190,Second,Second,Object
191,Second,First,Object
192,Second,Second,Object
193,First,First,Object
194,First,First,Object
195,Second,First,Object
196,First,First,Object
197,First,Second,Object
198,First,First,Object
199,Second,Second,Object
200,First,First,Object
201,First,Second,Object
202,Second,Second,Object
203,First,First,Object
204,First,First,Object
205,Second,Second,Object
206,First,First,Object
207,Second,Second,Object
208,First,First,Object
209,First,First,Object
210,First,First,Object
211,Second,First,Object
212,Second,Second,Object
213,First,First,Object
214,Second,Second,Object
215,First,First,Object
216,Second,Second,Object
217,First,First,Object
218,Second,Second,Object
219,First,First,Object
220,First,First,Object
221,First,First,Object
222,First,Second,Object
223,Second,Second,Object
224,First,First,Object
225,Second,Second,Object
226,First,First,Object
227,First,First,Object
228,Second,Second,Object
229,Second,Second,Object
230,First,First,Object
231,First,First,Object
232,Second,First,Object
233,Second,Second,Object
234,First,First,Object
235,First,Second,Object
236,Second,Second,Object
237,Second,Second,Object
238,First,First,Object
239,First,First,Object
240,First,First,Object
241,Second,Second,Object
242,First,First,Object
243,Second,Second,Object
244,First,Second,Object
245,First,First,Object
246,Second,First,Object
247,First,Second,Object
248,First,Second,Object
