sample_id,is_correct,image_score,text_score,category
0,False,0.0,0.0,Relation
1,False,0.0,0.0,Relation
2,False,0.0,0.0,Relation
3,False,0.0,0.0,Object
4,False,0.0,0.0,Relation
5,True,1.0,1.0,Object
6,False,0.0,0.5,Object
7,True,1.0,1.0,Object
8,False,0.0,0.0,Object
9,False,0.5,0.5,Object
10,False,0.5,0.5,Object
11,False,0.5,0.5,Object
12,False,0.0,0.0,Object
13,False,0.0,0.0,Object
14,True,1.0,1.0,Object
15,False,0.5,0.5,Object
16,False,0.0,0.0,Object
17,False,0.0,0.0,Object
18,False,0.0,0.5,Object
20,False,0.0,0.0,Relation
21,False,0.5,0.5,Relation
23,False,0.0,0.5,Relation
24,False,0.5,0.5,Relation
25,False,0.0,0.0,Relation
26,False,0.0,0.0,Relation
27,False,0.0,0.0,Relation
28,True,1.0,1.0,Relation
29,True,1.0,1.0,Relation
30,True,1.0,1.0,Relation
31,False,0.0,0.0,Relation
32,True,1.0,1.0,Relation
33,False,0.0,0.0,Relation
34,False,0.0,0.0,Relation
35,False,0.0,0.0,Relation
36,True,1.0,1.0,Relation
37,False,0.5,0.5,Relation
38,False,0.0,0.0,Relation
39,False,0.5,0.5,Relation
40,False,0.5,0.5,Relation
41,True,1.0,1.0,Relation
42,False,0.0,0.0,Relation
43,False,0.0,0.0,Relation
44,False,0.0,0.0,Relation
46,False,0.0,0.0,Relation
47,True,1.0,1.0,Relation
48,False,0.5,0.5,Relation
49,False,0.0,0.0,Object
50,False,0.0,0.0,Relation
51,True,1.0,1.0,Relation
52,False,0.0,0.0,Relation
53,False,0.0,0.5,Relation
54,False,0.0,0.0,Relation
55,False,0.0,0.0,Relation
56,False,0.0,0.0,Relation
57,True,1.0,1.0,Relation
58,False,0.0,0.0,Relation
59,False,0.0,0.0,Relation
60,False,0.5,0.5,Relation
61,False,0.5,0.5,Relation
62,False,0.0,0.0,Relation
63,False,0.0,0.0,Relation
64,False,0.0,0.0,Relation
66,False,0.0,0.0,Relation
67,False,0.0,0.0,Relation
68,False,0.0,0.0,Object
69,False,0.5,0.5,Object
70,False,0.5,0.5,Relation
71,False,0.0,0.0,Relation
72,True,1.0,1.0,Object
73,True,1.0,1.0,Both
74,True,1.0,1.0,Both
75,False,0.5,0.5,Relation
76,False,0.0,0.0,Relation
78,False,0.0,0.0,Relation
79,True,1.0,1.0,Relation
81,False,0.5,0.0,Object
83,False,0.0,0.0,Relation
84,True,1.0,1.0,Object
85,False,0.0,0.0,Relation
86,True,1.0,1.0,Both
87,True,1.0,1.0,Relation
88,False,0.0,0.0,Object
89,False,0.0,0.5,Relation
90,False,0.5,0.5,Object
91,True,1.0,1.0,Object
92,False,0.5,0.5,Relation
93,False,0.5,0.5,Relation
94,False,0.5,0.5,Relation
95,False,0.5,0.5,Both
96,False,0.0,0.5,Both
97,False,0.0,0.0,Relation
98,True,1.0,1.0,Both
99,True,1.0,1.0,Relation
100,False,0.5,0.5,Relation
101,False,0.0,0.0,Relation
102,True,1.0,1.0,Relation
103,False,0.5,0.5,Relation
104,False,0.0,0.0,Relation
105,False,0.0,0.0,Relation
106,False,0.0,0.0,Relation
107,False,0.0,0.0,Relation
108,True,1.0,1.0,Relation
109,False,0.5,0.5,Relation
110,True,1.0,1.0,Relation
111,True,1.0,1.0,Relation
112,False,0.0,0.0,Relation
113,True,1.0,1.0,Relation
114,True,1.0,1.0,Relation
115,True,1.0,1.0,Relation
116,False,0.0,0.0,Relation
117,False,0.0,0.0,Relation
118,False,0.5,0.5,Relation
119,False,0.0,0.0,Relation
120,False,0.0,0.0,Relation
121,False,0.0,0.0,Relation
122,False,0.0,0.0,Relation
123,True,1.0,1.0,Relation
125,False,0.0,0.0,Relation
127,False,0.5,0.5,Relation
128,False,0.0,0.0,Relation
130,False,0.0,0.0,Relation
131,False,0.0,0.0,Object
132,False,0.0,0.0,Object
133,False,0.5,0.5,Both
134,False,0.0,0.0,Relation
135,False,0.5,0.5,Relation
136,True,1.0,1.0,Object
137,False,0.0,0.0,Relation
138,False,0.0,0.0,Relation
139,False,0.0,0.0,Relation
140,False,0.5,0.5,Object
141,False,0.5,0.5,Object
142,False,0.5,0.5,Object
143,False,0.5,0.5,Object
144,False,0.0,0.0,Object
145,False,0.5,0.0,Relation
146,False,0.0,0.0,Object
147,False,0.5,0.5,Object
148,False,0.0,0.5,Object
149,False,0.5,0.5,Object
150,False,0.5,0.5,Both
151,False,0.5,0.5,Both
152,False,0.0,0.5,Object
153,False,0.5,0.5,Object
154,False,0.0,0.0,Object
155,False,0.0,0.0,Object
156,False,0.0,0.0,Relation
157,True,1.0,1.0,Object
158,False,0.5,0.5,Object
159,False,0.0,0.0,Object
161,False,0.5,0.5,Object
162,False,0.0,0.0,Object
163,False,0.5,0.5,Object
164,False,0.0,0.5,Object
165,False,0.5,0.5,Object
166,False,0.0,0.0,Object
167,False,0.5,0.5,Object
168,False,0.5,0.5,Object
169,False,0.0,0.0,Object
170,False,0.5,0.5,Object
171,False,0.0,0.0,Object
172,False,0.5,0.5,Object
173,False,0.0,0.0,Object
174,False,0.5,0.5,Object
175,False,0.5,0.5,Object
176,False,0.0,0.0,Object
177,False,0.0,0.0,Object
178,False,0.0,0.0,Object
179,False,0.0,0.0,Relation
180,False,0.5,0.5,Relation
181,False,0.0,0.0,Relation
183,False,0.0,0.5,Relation
184,False,0.5,0.5,Relation
185,True,1.0,1.0,Relation
186,False,0.0,0.5,Relation
189,False,0.0,0.0,Relation
190,False,0.5,0.5,Relation
191,False,0.5,0.5,Relation
192,False,0.5,0.5,Relation
193,False,0.5,0.5,Relation
194,True,1.0,1.0,Relation
195,True,1.0,1.0,Relation
196,False,0.5,0.5,Relation
197,False,0.0,0.0,Relation
198,True,1.0,1.0,Relation
199,True,1.0,1.0,Relation
200,False,0.0,0.0,Relation
201,False,0.0,0.0,Both
202,True,1.0,1.0,Object
203,False,0.0,0.0,Relation
204,False,0.5,0.5,Relation
205,True,1.0,1.0,Relation
206,False,0.0,0.0,Relation
208,False,0.0,0.0,Relation
209,False,0.0,0.5,Object
210,False,0.5,0.5,Object
211,True,1.0,1.0,Object
212,False,0.0,0.0,Object
213,False,0.5,0.5,Object
214,False,0.0,0.0,Relation
215,False,0.0,0.0,Relation
216,False,0.5,0.5,Object
217,False,0.0,0.0,Object
218,False,0.0,0.0,Object
220,False,0.0,0.0,Object
221,False,0.0,0.0,Object
222,False,0.0,0.0,Both
224,True,1.0,1.0,Both
225,False,0.0,0.0,Relation
226,False,0.0,0.0,Object
227,False,0.0,0.0,Object
228,False,0.5,0.5,Object
229,True,1.0,1.0,Object
230,False,0.0,0.0,Relation
234,False,0.5,0.5,Object
236,False,0.5,0.0,Object
238,True,1.0,1.0,Relation
240,False,0.5,0.5,Relation
241,False,0.5,0.5,Relation
242,False,0.5,0.5,Relation
244,False,0.0,0.0,Relation
245,False,0.5,0.5,Object
246,True,1.0,1.0,Object
247,False,0.0,0.5,Object
248,False,0.0,0.0,Relation
249,False,0.5,0.5,Object
251,False,0.5,0.5,Object
252,True,1.0,1.0,Relation
253,False,0.5,0.5,Relation
254,True,1.0,1.0,Relation
255,False,0.0,0.5,Object
256,False,0.5,0.5,Object
257,False,0.0,0.0,Object
258,False,0.5,0.5,Relation
259,False,0.0,0.0,Relation
260,False,0.5,0.0,Relation
261,False,0.5,0.5,Relation
262,False,0.5,0.5,Both
264,False,0.5,0.0,Object
265,False,0.5,0.5,Object
266,False,0.0,0.0,Relation
268,False,0.0,0.0,Relation
269,True,1.0,1.0,Relation
270,False,0.5,0.5,Relation
272,False,0.5,0.5,Object
273,True,1.0,1.0,Relation
274,False,0.0,0.5,Object
275,False,0.0,0.0,Object
276,True,1.0,1.0,Relation
278,False,0.0,0.0,Relation
279,False,0.0,0.0,Relation
280,False,0.5,0.5,Relation
281,False,0.5,0.5,Relation
282,False,0.5,0.5,Relation
283,False,0.5,0.0,Relation
284,False,0.0,0.0,Relation
285,False,0.0,0.0,Object
287,False,0.0,0.0,Relation
290,False,0.0,0.0,Object
291,False,0.0,0.0,Relation
292,False,0.5,0.5,Relation
293,False,0.5,0.5,Object
294,False,0.0,0.0,Relation
295,False,0.0,0.0,Relation
297,False,0.5,0.5,Relation
300,False,0.5,0.5,Relation
301,False,0.5,0.5,Object
302,False,0.0,0.0,Object
303,False,0.5,0.5,Relation
304,True,1.0,1.0,Relation
305,False,0.5,0.5,Both
306,False,0.5,0.5,Object
307,False,0.0,0.0,Both
308,False,0.0,0.0,Relation
309,False,0.5,0.5,Object
310,False,0.5,0.5,Object
311,False,0.5,0.5,Relation
312,False,0.5,0.5,Relation
313,False,0.5,0.5,Object
314,False,0.0,0.0,Relation
